GlyphNameCN,GlyphName,Unicode
退复,tui4fu4,U+F00AA
往来,wang3lai2,U+F00AB
撞,zhuang4,U+0649E
逗,dou4,U+09017
唤,huan4,U+05524
吟,yin2,U+0541F
猱,nao2,U+07331
注,zhu4,U+06CE8
绰,chuo4,U+07EF0
引,yin3,U+05F15
淌,tang3,U+06DCC
急,ji2,U+06025
缓,huan3,U+07F13
紧,jin3,U+07D27
慢,man4,U+06162
分开,fen1kai1,U+F00AC
同声,tong2sheng1,U+F00AD
应合,ying4he2,U+F00AE
放合,fang4he2,U+F00AF
掐撮三声,qia1cuo1san1sheng1,U+F00B0
撮,cuo1,U+064AE
掐撮,qia1cuo1,U+F00B1
双弹,shuang1tan2,U+F00B2
拨剌,bo1la4,U+F00B3
齐撮,qi2cuo1,U+F00B4
少息,shao3xi1,U+F00B5
大息,da4xi1,U+F00B6
入拍,ru4pai1,U+F00B7
入慢,ru4man4,U+F00B8
泛起,fan4qi3,U+F00B9
泛止,fan4zhi3,U+F00BA
间,jian1,U+095F4
再作,zai4zuo4,U+F00BB
从头再作,cong2tou2zai4zuo4,U+F00BC
曲终,qu1cjung1,U+F00BD
操终,cao1cjung1,U+F00BE
一,yi1,U+04E00
二,er4,U+04E8C
三,san1,U+04E09
四,si4,U+056DB
五,wu3,U+04E94
六,liu4,U+0516D
七,qi1,U+04E03
八,ba1,U+0516B
九,jiu3,U+04E5D
十,shii2,U+05341
十一,shii2yi1,U+F00BF
十二,shii2er4,U+F00C0
十三,shii2san1,U+F00C1
外,wai4,U+05916
半,ban4,U+0534A
就,jiu4,U+05C31
按,an4,U+06309
泛,fan4,U+06CDB
徽,hui1,U+05FBD
分,fen1,U+05206
弦,xian2,U+05F26
不,bu2,U+04E0D
从,cong2,U+04ECE
作,zuo4,U+04F5C
入,ru4,U+05165
全,quan2,U+05168
再,zai4,U+0518D
出,chu1,U+051FA
动,dong4,U+052A8
双,shuang1,U+053CC
合,he2,U+05408
同,tong2,U+0540C
圆,yuan2,U+05706
声,sheng1,U+058F0
头,tou2,U+05934
如,ru2,U+05982
少,shao3,U+05C11
带,dai4,U+05E26
应,ying1,U+05E94
开,kai1,U+05F00
弹,tan2,U+05F39
往,wang3,U+05F80
息,xi1,U+0606F
扶,fuu2,U+06276
抓,zhua1,U+06293
拍,pai1,U+062CD
掐,qia1,U+06390
推,tui1,U+063A8
搯,tao1,U+0642F
操,cao1,U+064CD
放,fang4,U+0653E
曲,qu1,U+066F2
来,lai2,U+06765
止,zhi3,U+06B62
终,cjung1,U+07EC8
虚,xu1,U+0865A
起,qi3,U+08D77
长,zhang3,U+0957F
齐,qi2,U+09F50
